	P3. 원*정
원*정	"나이 얘기해 네 저는 98년생이고요. 저는 보건복지부 아 기관에서 일을 하고 있어요.
저는 대학원에서 기록물이라는 걸 전공해서 기록물 관리라는 업종에서 일을 하고 있고 공공기관이다 보니까 어느 정도 급여적으로 좀 한계가 있어서 그 관계가 있는 대신에 시간적 여유가 있어서 조금 투자나 아니면 기타 다른 부가 수익 쪽에 좀 관심을 두는 편이에요.
그래서 취미가 약간 이런 쪽이라고 보시면 될 것 같아요."
진행자	"투자하시는 것을 좀 취미라고 이렇게 표현을 해 주셨어요.
네 관심 있게 그럼 투자하시는 분야나 어떤 방법으로 투자하시는지 평소 투자 활동에 대해서 소개해 주신다면 어떨까요?"
원*정	"저는 일단 조금 테크주에 관심이 좀 있는 편이고요.
무엇보다도 저는 반도체에 좀 관심이 많아요. 일단 제가 반도체에 관심을 가지는 이유는 반도체라는 업종 자체가 매력적이기도 하지만 근처에 반도체 쪽에 산업에서 일하는 사람이 많아서 좀 정보를 쉽게 접할 수 있기 때문이기도 하고요.
오늘 그래서 삼성증권 어플을 이용해서 파이버에서 나온 이번에 AI 주만 이렇게 상위 10개 종목 나스닥에서 모아놓은 종목도 담아가지고 한 300만 원어치 추가 투자했고요.
그거 제가 주로 이렇게 섹터가 이제 반도체 쪽에 있지만 이전에는 2차 전지를 조금씩 했었습니다."
진행자	"네 관심 있게 이제 보시는 그런 어떤 산업에 대해서도 좀 소개를 해 주셔서 같네요.
알겠습니다. 네이버 페이 증권 서비스 이제 이용하고 계시다라고 하셨는데 주로 어떤 목적으로 이용하고 계세요?"
원*정	"우선 네이버 페이 가장 많이 증권 가장 많이 들어갈 때는 솔직히 회사에서 가장 많이 보고요.
회사에서 이 휴대폰으로 하면 조금 불편한 감이 있어가지고 컴퓨터로 볼 때 많이 보는 편이에요.
그리고 주로 제가 이 네이버 페이 증권에서 가장 많이 보는 거는 이 네이버 페이 증권이 다른 기타 휴대폰에 있는 증권 서비스보다 뉴스 같은 것들을 조금 더 잘 연계를 해놔가지고 관련 산업 동향을 좀 파악하기가 좋더라고요.
저는 네이버 페이 증권 여기 맨 앞에 나와 있는 데서 주요 뉴스 제일 많이 보는 편이에요."
진행자	주요 뉴스를 제일 많이 보고 싶고 또 다른 목적이 있다면 어떤 것들
원*정	있을까요? 종합 토론방 조금 보고 있습니다. 종토방이라고 하는
진행자	"네 그 토론방에 대해서는 종목에 또 이 관련된 토론 방들이 있는 거잖아요.
혹시 그런 이용하시는 토론방은 어떤 종목인가요?"
원*정	"저는 반도체 주를 주로 하다 보니까 하이닉스랑 삼전 가장 많이 보고요.
그리고 반도체 장비주 쪽으로 해가지고 이렇게 모아져 있는 그런 섹터 보고 있는데 주로 사실 삼전이랑 하이닉스 위주고요."
진행자	"네 네 반도체 산업에 있는 어떤 기업의 종목 토론망도 같이 보신다 이렇게 답변해 주신 것 같아요.
추우시면 말씀하세요. 네 괜찮아요. 괜찮아 아까 이제 회사에 있을 때는 이제 PC로 도신다고 말씀 주셨는데 혹시 그럼 네이버 페이 증권 서비스를 모바일로도 이용하는 상황이 있을까요?"
