	P5. 김*현
김*현	"저는 44살이고 이제 직장인이고요. 일반적인 공공기관의 공기업에 직장인으로 있습니다.
그리고 현재 서울 동대문구에 거주하고 있고 자녀 2명 그리고 배우자 이렇게 인 거주하고 있습니다."
진행자	네 저희가 오늘 이제 투자 관련된 이야기를 이제 뒤쪽에서 하게 될 텐데 이제 증권 서비스 관련된 그래서 관심 있게 투자하시는 분야나 주된 방법이라든지 어떻게 투자하고 계신지 간단하게 좀 소개해 주신다면 어떨까요?
김*현	"저는 기본적으로는 주 투자는 국내 증시 일단 일단 크게 보고 일단 먼저 증권 증권이 있고 채권 투자도 있고 채권 투자도 있고 하는데 기본적으로 증권 투자에서는 주로 국내 공공 대형 매컬이라든지 이런 인프라 관련된 기업들 그다음에 조선 관련된 HD 현대 그다음에 또 방산 입주 이쪽 중심으로 얘기하면 좀 안정적인 걸 선호하다 보니까 그렇게 투자하고 있고요.
투자를 주로 하고 있고 왜냐하면 이게 또 대부분이 에퀀이라든지 HD 현대 같은 고배당 주식이기 때문에 저는 약간 장기 투자 차원에서 단기적인 이렇게 매매 차익보다는 이제 배당주 배당주 차원에서 관점에서 이렇게 투자하고 있고 그리고 또 각종 공모주들이 하고 고 있습니다."
진행자	"네 소개해 주신 게 특정 산업들 좀 안정적이라고 판단되는 산업들에 장기 투자를 하는 식으로 그렇게 하고 계시다 좀 이렇게 이해해도 될까요?
알겠습니다. 국내 얘기 좀 해 주셨는데 해외 주식도 투자하고"
김*현	"해외 주식은 별도로 크게 투자하고 있지는 않고 다만 이제 조금씩 이제 어차피 펀드를 통해서 이렇게 어떻게 보면 간접 투자를 하는 식으로 하고 있습니다.
외 해외 종목에 대해서는 간접 투자 방식으로 하고 계시죠?
예를 들면 인도 펀드라든지 이 차이나 펀드라든지 이런 식으로 해서 간접 투자를 하고 있습니다.
왜냐하면 이거 해외 부실은 우리가 전문성이 아무리 그래도 국내에 있다 보니까 전문성이 떨어지다 보니까 약간 좀 이렇게 안정적으로 그것도 저도 약간 좀 안정적인 성향이 있어서 물론 펀드가 다 다 그렇지는 않지만 펀드를 통해서 간접 투자하고 있습니다."
진행자	그러면 좀 궁금한 게 이제 해외 주식에 대해서 종목을 직접 탐색하고 직접 거래는 한번
김*현	"해본 적 없으신가요? 저런 거는 좀 했었죠 약간 약간 자잘한 게 뭐 저기 약간 했는데 크게 많이 하지는 않았습니다.
알겠습니다."
진행자	네 투자 관련해서 좀 여쭤봤는데요. 지금 바로 화면에 보이시죠 이게 네이버 페이 증권 서비스 좀 띄워놨는데 주로 어떤 목적으로 이제 네이버 페이 증권 서비스 이용하시는 중
김*현	"먼저 주로 이제 지표들 지표들이 이제 국내 각종 지표라든지 지표들을 먼저 확인하고요.
그다음에 이 뉴스에서 여기서 주로 공모주라든지 이런 것도 사실 있다 보면 놓치는 경우들이 있기 때문에 그래도 이게 여기는 주로 뉴스 코너에서 일단 확인을 합니다.
뉴스 코너에서 확인하고 그다음에 리서치 쪽으로 한번 전체적으로 훑어보는데 리서치 쪽에서 왜냐하면 이게 전체적인 경제 분석이라든지 이런 산업 분석 이런 리포트를 이렇게 주로 보고 있습니다."
김*현	이게 그 내용을 다 꼼꼼히 보는 것보다는 리포트 쪽에서는 지금 어떤 것들이 일단 기본적으로 논의되고 있는 돌아가는구나 현재 상황이 자체가 왜냐하면 이거 그냥 뉴스만 보다 보면 저희가 이 종합적인 보이지 않는데 리서치 쪽에서는 이렇게 보면서 이렇게 예를 들면 산업 쪽에서 지금 어떤 분야가 초점이 되고 있고 어떤 이슈가 있거나 아니면 경제 분석 레포트에서도 주로 경제 분석에서 각 지역 투자 지역 분석이라든지 이런 걸 통해서 이제 인도라든지 예를 들면 특정 국가라면 인도라든지 이쪽에 예를 들면 지금 현재 가 주식의 규제 이슈라든지 이런 게 있어서 어느 쪽에 약간 좀 소위 넣고 빼고를 해야 되는지 이런 것들을 파악하기 위해서 일단 보고 있습니다.
진행자	그렇군요. 어떤 메뉴들 좀 이용하시는지 설명해 주셨는데 그러면 처음 이제 들어왔다라고 가정을 하고 홈 화면에서부터 각 메뉴에서도 아까 지표를 보신다 또 뉴스 리서치 이렇게 보신다 말씀해 주셨는데 주로 어떤 정보를 좀 찾아보시는 건지 좀 설명을 해 주시면서
