	P4. 양*선
양*선	수는 사건 양천구고요. 나이는 40대 중반이고 그리고 취미로 미술관 가기
진행자	양천구 사세요. 저 옛날에 월천 중학교 다녔
진행자	가까운 데 사시면 네 가까운 데 사시는 저희가 오늘 증권 서비스 관련된 이야기를 좀 나누려다 보니까 혹시 관심 있게 투자하는 분야나 아니면 하고 계신 방식이나 이런 어떤 투자 활동하고 계신지 간단하게 소개 좀 부탁드릴게요.
양*선	"보통 미래에 사용하고 있고요. 그리고 시작한 지는 한 6~7년 정도 된 것 같아요.
그리고 처음에는 잘 모르고 시작했다가 투자하다 보니까 처음에는 많이 처음에는 모르고 시작하면 돈을 이렇게 많이 따 이익을 좀 내다가 최근에는 아시다시피 이제 한 3년 동안 거의 마이너스 한 50% 정도 되다가 요즘에는 또 정권 바뀌니까 좀 오르고 있는"
진행자	그렇군요. 증권 얘기를 좀 해 주시는 게 혹시 국내 자원 위주로 그럼 투자를 하시는 거예요?
양*선	"국내장 위주였고 중간에 해외도 했었어요. 미국 약간 바이오 쪽 그래서 수익이 나고 근데 환율 때문에 그때 당시에도 약간 환율 차가 좀 심해가지고 미국장이 좀 환율이 좀 떨어지면 해야겠다 생각했는데 더 올랐잖아요.
400원대까지 그래서 다시는 진행을 못하고 있고 언젠가는 좀 떨어지면 하고 싶긴 해요."
진행자	"그렇군요. 지금은 그래서 이제 국내 시장 위주로 투자를 하고 계시는 그런 상황이군요.
알겠습니다. 먼저 이제 네이버 페이 증권 서비스 이용하시는 경험에 대해서 좀 여쭤보려고 하는데요.
네이버 페이 증권 서비스 이제 모바일이나 이제 설문조사 답변으로는 이제 데스크톱으로 이용해 주신다고 했는데 혹시 모바일로도 이용하세요?"
양*선	"모바일 도이 찾으려고요. 토론방이나 아니면은 거기서 소식 같은 게 있잖아요.
갑자기 뛸 때 한 20인 갑자기 뛸 때가 있을 때 뉴스보다는 그냥 네이버 치면은 바로 연결이 되잖아요.
그래서 종목 분석 들어가서 뉴스라든가 왜 띄웠는지 보고 얼마 정도 계속 전반적으로 보기는 좀"
진행자	"그렇군요. 네 제가 좀 여쭤보고 싶었던 게 이제 PC로 어떻게 쓰시는지 모바일로 어떻게 쓰시는지 여쭤볼 예정인데 혹시 두 기기를 이용하면서 뭔가 이용 목적이라든지 주로 보는 콘텐츠가 다를까요?
모바일로 하시는 상황이랑"
양*선	모바일 근데 항상 볼 수 있잖아요. 그래서 1시간을 더 세네 번씩은 계속 체크하는 겸 보고 있고 보통 사무실에서는 PC 많이 쓰니까 갑자기 그냥 모바일 보고 싶지 않을 때 공모 같은 거
진행자	"네 그럼 주로 좀 이용하시는 건 어떤 기능을 모바일로 좀 주로 이용하세요?
그러시 일단 PC가 지금 저희 앞에 켜져 있는데 PC로 뭔가 이제 회사에서는 PC로 한다고 이렇게 말씀 주셨는데 어떤 것들을 하시는지 보여주시면서 좀 설명을 해 주시면 좋을 것 같습니다.
어떤 목적으로 좀 들어오셔서"
양*선	"처음부터 네이버 페이 증권에 들어가는 건 아니고 네이버로 들어가서 최근에는 이제 스텝이 코인 때문에 카카오 쓰잖아요.
그래서 카카오 뱅크를 가지고 있거든요. 그가 들어가면 이제 장소 얼마 정도 뛰었고 그래프 정도 보고 토론 들어가 봐요."
진행자	토론 들어
양*선	"토론 들어가서 사람들이 어떻게 말하는지 페이 지금 연동돼 있는 게 페이니까 페이도 좀 보고 같이 연동돼 있잖아요.
그렇다 보니까 이 정보가 많긴 한데 보통은 여기에 이 정도 많이 보는 것 같아요.
이제 데스크 탑으로 볼 때는 그러니까"
진행자	안에 들어가서 뭔가를 더 이제 찾아보고 이런 상황은 없을까요?
양*선	"그래 뭐지 얘네 토론이 가서 보고 분석 같은 거 PBR이나 그거는 항상 이렇게 한 번 나오면은 매번 바뀌는 게 아니잖아요.
그 밑에까지는 거의 안 보는 것 같아요. 그런"
진행자	"네 일단 평상시에 그럼 이용하시는 걸 좀 보여주신 게 네이버에서 관심 있어 하시는 종목을 좀 검색을 하시고 그 검색된 화면에서 뭔가를 좀 보는 게 더 대부분이다.
이렇게 좀 이해를 해야 될까요? 종목 토론도 아까 뭐 봐야 되잖아요.
이렇게 말씀해 주셨는데 종목 토론도 그럼 PC에서 보세요."
양*선	미래에셋도 이렇게 연결이 되어 있거든요. 내
진행자	이거 종
양*선	"거기는 이제 한 3~4개 정도밖에 안 보이니까 가끔 이렇게 들어왔을 때 틀어 보면 사람들이 어떻게 말하고 있는지 디테일하게 보지는 않지만 대충은 왜 올랐는지 100% 맞진 않잖아요.
이 사람들이 말하는 게 대충 이렇게 훑어보는 정도."
진행자	"그럼 이렇게 네이버 페이에서 네이버에서 이제 검색하셔가지고 뭔가 확인하시는 것들이 실제로 뭔가 투자 활동에 영향을 주시나 주나요?
매매하는 데"
양*선	"이슈 공지 같은 거 카카오뱅크에 대한 뉴스가 계속 나오는 거잖아요.
업데이트 되는 거잖아요. 보다가 클릭도 해보면서 연결되어 있으니까 그도 하고 알겠습니다.
기관에 얼마 샀는지 근데 실시간으로는 잘 안 나오는 것 같더라고요.
이게 이게 계속 이렇게 변동이 돼야 되잖아요. 미래에셋은 항상 이렇게 변동이 되고 있는데 이거는 항상 이렇게 가만히 있어가지고 업데이트를 해 줘야 되는 움직이더라고요."
진행자	"거리 아프네. 기존에 이제 설문조사 답변 주신 것들 보면은 PC 이용 빈도가 한 주 1~2회 정도 된다 이렇게 답변을 해 주셨어요.
맞을까요? 어떤 계기로 그러면 이용을 하시는 거"
양*선	아까 말씀드렸다시피 그냥 PC 일하다가 궁금할 때 이렇게 켜보는 거
진행자	특정 종목이 좀 궁금할 때 이렇게 찾아보시는
양*선	제너럴하게 궁금할 때는 어떻게 찾아볼 이렇게까지는 잘 안 보고 그냥 특정 정보 차 입고만
진행자	"여기는 서비스 어떤 것들을 이용하시는지 여쭤봤을 때는 이제 시장 지표나 이런 것도 좀 확인하신다 이렇게 말씀 주셨는데 혹시 PC가 아니라 이제 아까 말씀해 주신 모바일 이용 이런 상황일까요?
시장 지표 같은 것들을 좀 확인하신다라고 답변을 주셨어 가지고 혹시 보시는 게 따로 있으신 건지 그런 부분 여쭤보려고 했습니다."
양*선	시정 지표 그래프 가 들어가요.
진행자	환율이라든지 아니면
양*선	안으로 항상 그냥
진행자	수라든지
양*선	지수는 미래에셋 첫 화면에 항상 나오니까 그거는 따로 여기서는 나오면 보고 그렇게 막 디테일하게 찾아보지는 않을 것 같아
진행자	"증권사 서비스에서 주로 보시는 거예요. 그거 알겠습니다.
모바일로 좀 주로 이용하신다고 말씀 주셨는데 모바일 이용은 그러면 좀 더 자주 있을까요?
PC로 보시는 것보다 비중 같은 것이"
양*선	1시간에 3~4 번씩은
진행자	그러세요 모바일 네이버 페이 증권
양*선	"네이버요 네 네이버는 그렇게 안 먹고 미래에셋 미래에셋 앱으로 되어 있으니까 그게 더 편하죠.
이거는 앱이 있어요."
진행자	앱이요 네 앱이 좀 없다 이렇게 생각이
